id,system,category,subcategory,plain_text,source_file
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L23,SOH_MENU,CONFIGURATION,,Small,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L24,SOH_MENU,CONFIGURATION,,Normal,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L25,SOH_MENU,CONFIGURATION,,Large,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L26,SOH_MENU,CONFIGURATION,,X-Large,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L32,SOH_MENU,CONFIGURATION,,Orange,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L33,SOH_MENU,CONFIGURATION,,Green,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L36,SOH_MENU,CONFIGURATION,,Blue,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L38,SOH_MENU,CONFIGURATION,,Indigo,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L39,SOH_MENU,CONFIGURATION,,Violet,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L40,SOH_MENU,CONFIGURATION,,Purple,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L41,SOH_MENU,CONFIGURATION,,Brown,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L42,SOH_MENU,CONFIGURATION,,Gray,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L47,SOH_MENU,CONFIGURATION,,Three-Point,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L48,SOH_MENU,CONFIGURATION,,Linear,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L49,SOH_MENU,CONFIGURATION,,None,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L53,SOH_MENU,CONFIGURATION,,Hidden,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L57,SOH_MENU,CONFIGURATION,,Default,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L58,SOH_MENU,CONFIGURATION,,Authentic,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L99,SOH_MENU,CONFIGURATION,,UNKNOWN,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L127,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L127,SOH_MENU,CONFIGURATION,,Menu.SettingsSidebarSection,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L128,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L128,SOH_MENU,CONFIGURATION,,General,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L129,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L129,SOH_MENU,CONFIGURATION,,General,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L134,SOH_MENU,CONFIGURATION,,Menu.Theme,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L149,SOH_MENU,CONFIGURATION,,Menu.BackgroundOpacity,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L156,SOH_MENU,CONFIGURATION,,CursorVisibility,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L160,SOH_MENU,CONFIGURATION,,CursorVisibility,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L165,SOH_MENU,CONFIGURATION,,Menu.SidebarSearch,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L168,SOH_MENU,CONFIGURATION,,Menu.SidebarSearch,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L177,SOH_MENU,CONFIGURATION,,Menu.SearchAutofocus,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L189,SOH_MENU,CONFIGURATION,,Boot,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L191,SOH_MENU,CONFIGURATION,,BootSequence,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L207,SOH_MENU,CONFIGURATION,,Languages,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L209,SOH_MENU,CONFIGURATION,,TitleScreenTranslation,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L211,SOH_MENU,CONFIGURATION,,Language,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L212,SOH_MENU,CONFIGURATION,,Languages,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L223,SOH_MENU,CONFIGURATION,,Accessibility,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L226,SOH_MENU,CONFIGURATION,,A11yTTS,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L231,SOH_MENU,CONFIGURATION,,A11yDisableIdleCam,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L234,SOH_MENU,CONFIGURATION,,EXPERIMENTAL,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L236,SOH_MENU,CONFIGURATION,,ImGuiScale,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L249,SOH_MENU,CONFIGURATION,,About,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L262,SOH_MENU,CONFIGURATION,,Audio,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L264,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L264,SOH_MENU,CONFIGURATION,,Audio,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L267,SOH_MENU,CONFIGURATION,,Volume.Master,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L271,SOH_MENU,CONFIGURATION,,Volume.MainMusic,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L276,SOH_MENU,CONFIGURATION,,Volume.MainMusic,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L279,SOH_MENU,CONFIGURATION,,Volume.SubMusic,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L284,SOH_MENU,CONFIGURATION,,Volume.SubMusic,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L287,SOH_MENU,CONFIGURATION,,Volume.Fanfare,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L292,SOH_MENU,CONFIGURATION,,Volume.Fanfare,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L295,SOH_MENU,CONFIGURATION,,Volume.SFX,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L299,SOH_MENU,CONFIGURATION,,Volume.SFX,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L308,SOH_MENU,CONFIGURATION,,Graphics,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L309,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L309,SOH_MENU,CONFIGURATION,,Graphics,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L355,SOH_MENU,CONFIGURATION,,InterpolationFPS,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L358,SOH_MENU,CONFIGURATION,,InterpolationFPS,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L375,SOH_MENU,CONFIGURATION,,MatchRefreshRate,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L410,SOH_MENU,CONFIGURATION,,Controls,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L412,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L412,SOH_MENU,CONFIGURATION,,Controls,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L417,SOH_MENU,CONFIGURATION,,Clear,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L418,SOH_MENU,CONFIGURATION,,Cancel,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L429,SOH_MENU,CONFIGURATION,,ControllerConfiguration,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L437,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L440,SOH_MENU,CONFIGURATION,,InputViewer,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L448,SOH_MENU,CONFIGURATION,,InputViewerSettings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L455,SOH_MENU,CONFIGURATION,,Notifications,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L457,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L458,SOH_MENU,CONFIGURATION,,Position,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L459,SOH_MENU,CONFIGURATION,,Notifications.Position,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L466,SOH_MENU,CONFIGURATION,,Notifications.Duration,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L476,SOH_MENU,CONFIGURATION,,Notifications.BgOpacity,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L482,SOH_MENU,CONFIGURATION,,Size:,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L483,SOH_MENU,CONFIGURATION,,Notifications.Size,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L497,SOH_MENU,CONFIGURATION,,This,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L506,SOH_MENU,CONFIGURATION,,Settings,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L508,SOH_MENU,CONFIGURATION,,ModMenu,soh/soh/SohGui/SohMenuSettings.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L31,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Vanilla,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L37,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Normal,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L38,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Unbreakable,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L43,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,None,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L44,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Navi,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L45,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,NPCs,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L50,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Disabled,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L51,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Both,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L57,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Disabled,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L65,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Always,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L66,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Once,soh/soh/SohGui/SohMenuEnhancements.cpp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L67,SOH_ENHANCEMENT,ENHANCEMENT_MENU,,Never,soh/soh/SohGui/SohMenuEnhancements.cpp
