id,source_file,plain_text,glyphs,category,context_hint
0x0010,oot.o2r::text/nes_message_data_static,"You borrowed a Skull Mask.
Wear it with [C] to show it off!
You feel like a monster while you
wear this mask !",C,NPC_DIALOGUE,
0x0011,oot.o2r::text/nes_message_data_static,"You borrowed a Spooky Mask.
Wear it with [C] to show it
off! You can scare many people
with this mask!",C,NPC_DIALOGUE,
0x0012,oot.o2r::text/nes_message_data_static,"You borrowed a Keaton Mask.
Wear it with [C] to show it
off! You'll be a popular guy with
this mask on!",C,NPC_DIALOGUE,
0x0013,oot.o2r::text/nes_message_data_static,"You borrowed a Bunny Hood.
Wear it with [C] to show it
off! The hood's long ears are so
cute!",C,NPC_DIALOGUE,
0x0014,oot.o2r::text/nes_message_data_static,"You borrowed a Goron Mask.
Wear it with [C] to show it
off! It will make your head look
big, though.",C,NPC_DIALOGUE,
0x0015,oot.o2r::text/nes_message_data_static,"You borrowed a Zora Mask.
Wear it with [C] to show it
off! With this mask, you can
become one of the Zoras!",C,NPC_DIALOGUE,
0x0016,oot.o2r::text/nes_message_data_static,"You borrowed a Gerudo Mask.
Wear it with [C] to show it off!
This mask will make you look
like...a girl?",C,NPC_DIALOGUE,
0x0017,oot.o2r::text/nes_message_data_static,"You borrowed a Mask of Truth.
Wear it with [C] to show it
off! Show it to many people!",C,NPC_DIALOGUE,
0x001C,oot.o2r::text/nes_message_data_static,"Bombs   (20 pieces)   80 Rupees
Take it out with [C] and press 
[C] again to throw it. You can't
buy them without a bomb bag.",C,NPC_DIALOGUE,
0x001D,oot.o2r::text/nes_message_data_static,"Bombs   (30 pieces)   120 Rupees
Take it out with [C] and press 
[C] again to throw it. You can't
buy them without a bomb bag.",C,NPC_DIALOGUE,
0x002E,oot.o2r::text/nes_message_data_static,"OKAY!!
This is a game for grownups!
Hyrule's famous Shooting Gallery!
--- PAGE ---
Take aim at the targets from that 
platform over there! Can you hit
ten targets? You get fifteen 
shots!
--- PAGE ---
Draw your weapon with [B]. 
Are you ready?
Go for a perfect score!
Good Luck!",B,NPC_DIALOGUE,
0x0030,oot.o2r::text/nes_message_data_static,"You found the Fairy Slingshot!
On the Select Item Subscreen,
you can set it to [R], [L] or [Z].
--- PAGE ---
Press [C] to take it out and hold
it. As you hold [C] you can aim 
with [D-Pad]. Release [C] to unleash 
a Deku Seed.
--- PAGE ---
If you want to shoot right 
away, when you first press [C], 
hold down [C] a little longer to 
get a seed ready.",R|L|Z|C|D-Pad,NPC_DIALOGUE,
0x0031,oot.o2r::text/nes_message_data_static,"You found the Fairy Bow!
On the Select Item Subscreen,
you can set it to [R], [L] or [Z].
--- PAGE ---
Press [C] to take it out
and hold it. As you hold down
[C] you can aim with [D-Pad]. Release
[C] to let fly with an arrow.",R|L|Z|C|D-Pad,NPC_DIALOGUE,
0x0032,oot.o2r::text/nes_message_data_static,"You got Bombs!
On the Select Item Subscreen,
you can set it to [R], [L] or [Z].
--- PAGE ---
Use [C] to lift and place
it. Press [C] while running to
throw it. If you see something
suspicious, bomb it!",R|L|Z|C,NPC_DIALOGUE,
0x0033,oot.o2r::text/nes_message_data_static,"You got Bombchu!
On the Select Item Subscreen,
you can set it to [R], [L] or [Z].
--- PAGE ---
 Carry and place with [C].
This is a new type bomb that
can even crawl up walls.
Aim well and release it!",R|L|Z|C,NPC_DIALOGUE,
0x0034,oot.o2r::text/nes_message_data_static,"You got a Deku Nut!
On the Select Item Subscreen,
you can set it to [R], [L] or [Z].
--- PAGE ---
Set it to [C] and try 
throwing it! It will flash and 
stun the enemy!",R|L|Z|C,NPC_DIALOGUE,
0x0035,oot.o2r::text/nes_message_data_static,"You found the Boomerang!
On the Select Item Subscreen,
you can set it to [R], [L] or [Z].
--- PAGE ---
Press [C] to use it to 
attack distant enemies!",R|L|Z|C,NPC_DIALOGUE,
0x0036,oot.o2r::text/nes_message_data_static,"You found the Hookshot!
It's a spring-loaded chain that
you can cast out to hook things.
--- PAGE ---
You can use it to drag
distant items toward you, or
you can use it to pull yourself
toward something.
--- PAGE ---
While holding [C], you can
aim with [D-Pad]. Shoot it by
releasing [C].",C|D-Pad,NPC_DIALOGUE,
0x0037,oot.o2r::text/nes_message_data_static,"You got a Deku Stick!
On the Select Item Subscreen,
you can set it to [R], [L] or [Z].
--- PAGE ---
Set it to [C] and swing it
with [C]!
--- PAGE ---
When you want to put it away, 
stand still and press [A]. 
You can carry up to 10 sticks,
but don't waste them.",R|L|Z|C|A,NPC_DIALOGUE,
0x0038,oot.o2r::text/nes_message_data_static,"You found the Megaton Hammer!
Press [C] to smash and break 
junk! It's so heavy, you need to 
use two hands to swing it!",C,NPC_DIALOGUE,
