id,future_i18n_key,english,spanish
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L23,SETTINGS.GENERAL.SMALL,Small,Pequeño
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L24,SETTINGS.GENERAL.NORMAL,Normal,Normal
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L25,SETTINGS.GENERAL.LARGE,Large,Grande
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L26,SETTINGS.GENERAL.X_LARGE,X-Large,Extra Grande
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L32,SETTINGS.GENERAL.ORANGE,Orange,Naranja
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L33,SETTINGS.GENERAL.GREEN,Green,Verde
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L36,SETTINGS.GENERAL.BLUE,Blue,Azul
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L38,SETTINGS.GENERAL.INDIGO,Indigo,Índigo
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L39,SETTINGS.GENERAL.VIOLET,Violet,Violeta
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L40,SETTINGS.GENERAL.PURPLE,Purple,Púrpura
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L41,SETTINGS.GENERAL.BROWN,Brown,Marrón
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L42,SETTINGS.GENERAL.GRAY,Gray,Gris
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L47,SETTINGS.GENERAL.THREE_POINT,Three-Point,Trilineal
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L48,SETTINGS.GENERAL.LINEAR,Linear,Lineal
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L49,SETTINGS.GENERAL.NONE,None,Ninguno
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L53,SETTINGS.GENERAL.HIDDEN,Hidden,Oculto
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L57,SETTINGS.GENERAL.DEFAULT,Default,Predeterminado
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L58,SETTINGS.GENERAL.AUTHENTIC,Authentic,Auténtico
