character,unicode,frequency,percentage
 ,U+0020,55997,13.2925%
e,U+0065,42028,9.9766%
a,U+0061,34990,8.3059%
o,U+006F,26516,6.2943%
r,U+0072,20548,4.8777%
n,U+006E,20000,4.7476%
s,U+0073,17410,4.1328%
l,U+006C,16335,3.8776%
d,U+0064,15353,3.6445%
u,U+0075,14827,3.5196%
i,U+0069,14631,3.4731%
t,U+0074,12790,3.0361%
c,U+0063,10209,2.4234%
"
",U+000A,8420,1.9987%
-,U+002D,8142,1.9327%
p,U+0070,7126,1.6916%
m,U+006D,6832,1.6218%
.,U+002E,6424,1.5249%
#,U+0023,4750,1.1276%
b,U+0062,3833,0.9099%
q,U+0071,3737,0.8871%
E,U+0045,3478,0.8256%
g,U+0067,3356,0.7966%
v,U+0076,3108,0.7378%
P,U+0050,2915,0.6920%
h,U+0068,2780,0.6599%
G,U+0047,2559,0.6075%
A,U+0041,2555,0.6065%
!,U+0021,2532,0.6010%
C,U+0043,2485,0.5899%
¡,U+00A1,2483,0.5894%
D,U+0044,2339,0.5552%
S,U+0053,1962,0.4657%
f,U+0066,1831,0.4346%
",",U+002C,1806,0.4287%
[,U+005B,1776,0.4216%
],U+005D,1776,0.4216%
T,U+0054,1666,0.3955%
y,U+0079,1653,0.3924%
á,U+00E1,1563,0.3710%
j,U+006A,1517,0.3601%
í,U+00ED,1441,0.3421%
M,U+004D,1401,0.3326%
1,U+0031,1383,0.3283%
z,U+007A,1232,0.2925%
L,U+004C,1230,0.2920%
B,U+0042,1201,0.2851%
R,U+0052,1084,0.2573%
H,U+0048,1067,0.2533%
k,U+006B,1024,0.2431%
ó,U+00F3,947,0.2248%
é,U+00E9,935,0.2219%
O,U+004F,848,0.2013%
N,U+004E,769,0.1825%
?,U+003F,757,0.1797%
ñ,U+00F1,749,0.1778%
¿,U+00BF,743,0.1764%
F,U+0046,677,0.1607%
I,U+0049,621,0.1474%
ú,U+00FA,494,0.1173%
0,U+0030,420,0.0997%
J,U+004A,419,0.0995%
w,U+0077,392,0.0931%
_,U+005F,390,0.0926%
V,U+0056,381,0.0904%
K,U+004B,357,0.0847%
2,U+0032,345,0.0819%
Q,U+0051,339,0.0805%
Z,U+005A,338,0.0802%
x,U+0078,303,0.0719%
Y,U+0059,287,0.0681%
:,U+003A,213,0.0506%
3,U+0033,172,0.0408%
U,U+0055,166,0.0394%
5,U+0035,131,0.0311%
W,U+0057,119,0.0282%
Á,U+00C1,118,0.0280%
4,U+0034,112,0.0266%
"""",U+0022,100,0.0237%
6,U+0036,77,0.0183%
(,U+0028,74,0.0176%
),U+0029,74,0.0176%
8,U+0038,61,0.0145%
7,U+0037,46,0.0109%
9,U+0039,42,0.0100%
\,U+005C,31,0.0074%
$,U+0024,23,0.0055%
|,U+007C,20,0.0047%
',U+0027,19,0.0045%
@,U+0040,17,0.0040%
Ú,U+00DA,8,0.0019%
Í,U+00CD,7,0.0017%
%,U+0025,4,0.0009%
É,U+00C9,4,0.0009%
;,U+003B,4,0.0009%
X,U+0058,3,0.0007%
Ó,U+00D3,3,0.0007%
/,U+002F,3,0.0007%
&,U+0026,2,0.0005%
ü,U+00FC,2,0.0005%
