=== SPANISH CHARACTER SET (TASK L03A FINAL AUDITED MASTER CORPUS) ===
Total Unique Characters: 100
Total Corpus Character Count: 421267

'!' (U+0021) - freq: 2532
'"' (U+0022) - freq: 100
'#' (U+0023) - freq: 4750
'$' (U+0024) - freq: 23
'%' (U+0025) - freq: 4
'&' (U+0026) - freq: 2
''' (U+0027) - freq: 19
'(' (U+0028) - freq: 74
')' (U+0029) - freq: 74
',' (U+002C) - freq: 1806
'-' (U+002D) - freq: 8142
'.' (U+002E) - freq: 6424
'/' (U+002F) - freq: 3
'0' (U+0030) - freq: 420
'1' (U+0031) - freq: 1383
'2' (U+0032) - freq: 345
'3' (U+0033) - freq: 172
'4' (U+0034) - freq: 112
'5' (U+0035) - freq: 131
'6' (U+0036) - freq: 77
'7' (U+0037) - freq: 46
'8' (U+0038) - freq: 61
'9' (U+0039) - freq: 42
':' (U+003A) - freq: 213
';' (U+003B) - freq: 4
'?' (U+003F) - freq: 757
'@' (U+0040) - freq: 17
'A' (U+0041) - freq: 2555
'B' (U+0042) - freq: 1201
'C' (U+0043) - freq: 2485
'D' (U+0044) - freq: 2339
'E' (U+0045) - freq: 3478
'F' (U+0046) - freq: 677
'G' (U+0047) - freq: 2559
'H' (U+0048) - freq: 1067
'I' (U+0049) - freq: 621
'J' (U+004A) - freq: 419
'K' (U+004B) - freq: 357
'L' (U+004C) - freq: 1230
'M' (U+004D) - freq: 1401
'N' (U+004E) - freq: 769
'O' (U+004F) - freq: 848
'P' (U+0050) - freq: 2915
'Q' (U+0051) - freq: 339
'R' (U+0052) - freq: 1084
'S' (U+0053) - freq: 1962
'T' (U+0054) - freq: 1666
'U' (U+0055) - freq: 166
'V' (U+0056) - freq: 381
'W' (U+0057) - freq: 119
'X' (U+0058) - freq: 3
'Y' (U+0059) - freq: 287
'Z' (U+005A) - freq: 338
'[' (U+005B) - freq: 1776
'\' (U+005C) - freq: 31
']' (U+005D) - freq: 1776
'_' (U+005F) - freq: 390
'a' (U+0061) - freq: 34990
'b' (U+0062) - freq: 3833
'c' (U+0063) - freq: 10209
'd' (U+0064) - freq: 15353
'e' (U+0065) - freq: 42028
'f' (U+0066) - freq: 1831
'g' (U+0067) - freq: 3356
'h' (U+0068) - freq: 2780
'i' (U+0069) - freq: 14631
'j' (U+006A) - freq: 1517
'k' (U+006B) - freq: 1024
'l' (U+006C) - freq: 16335
'm' (U+006D) - freq: 6832
'n' (U+006E) - freq: 20000
'o' (U+006F) - freq: 26516
'p' (U+0070) - freq: 7126
'q' (U+0071) - freq: 3737
'r' (U+0072) - freq: 20548
's' (U+0073) - freq: 17410
't' (U+0074) - freq: 12790
'u' (U+0075) - freq: 14827
'v' (U+0076) - freq: 3108
'w' (U+0077) - freq: 392
'x' (U+0078) - freq: 303
'y' (U+0079) - freq: 1653
'z' (U+007A) - freq: 1232
'|' (U+007C) - freq: 20
'¡' (U+00A1) - freq: 2483
'¿' (U+00BF) - freq: 743
'Á' (U+00C1) - freq: 118
'É' (U+00C9) - freq: 4
'Í' (U+00CD) - freq: 7
'Ó' (U+00D3) - freq: 3
'Ú' (U+00DA) - freq: 8
'á' (U+00E1) - freq: 1563
'é' (U+00E9) - freq: 935
'í' (U+00ED) - freq: 1441
'ñ' (U+00F1) - freq: 749
'ó' (U+00F3) - freq: 947
'ú' (U+00FA) - freq: 494
'ü' (U+00FC) - freq: 2
