domain,id,old_risk,new_risk,old_confidence,new_confidence,metadata_source,changed,notes
MAIN_GAME,Z_MESSAGE_OTR::L118,MEDIUM_RISK,MEDIUM_RISK,HIGH,HIGH,L02B_MAIN_GAME_CONTEXTUAL_QA,NO,L02C certified; Fix untranslated 'Gold' in 'Token de Gold Skulltula' and restore %r/%w color tags
MAIN_GAME,Z_MESSAGE_OTR::L126,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Z_MESSAGE_OTR::L134,LOW_RISK,LOW_RISK,HIGH,HIGH,L02B_MAIN_GAME_CONTEXTUAL_QA,NO,Standard dialogue certified
MAIN_GAME,Z_MESSAGE_OTR::L142,LOW_RISK,LOW_RISK,HIGH,HIGH,L02B_MAIN_GAME_CONTEXTUAL_QA,NO,Standard dialogue certified
MAIN_GAME,Z_MESSAGE_OTR::L148,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Z_MESSAGE_OTR::L154,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Z_MESSAGE_OTR::L160,LOW_RISK,LOW_RISK,HIGH,HIGH,L02B_MAIN_GAME_CONTEXTUAL_QA,NO,Standard dialogue certified
MAIN_GAME,Z_MESSAGE_OTR::L165,LOW_RISK,LOW_RISK,HIGH,HIGH,L02B_MAIN_GAME_CONTEXTUAL_QA,NO,Standard dialogue certified
MAIN_GAME,Z_MESSAGE_OTR::L172,LOW_RISK,LOW_RISK,HIGH,HIGH,L02B_MAIN_GAME_CONTEXTUAL_QA,NO,Standard dialogue certified
MAIN_GAME,Z_MESSAGE_OTR::L177,LOW_RISK,LOW_RISK,HIGH,HIGH,L02B_MAIN_GAME_CONTEXTUAL_QA,NO,Standard dialogue certified
MAIN_GAME,Rando::GIMESSAGE::RG_GREG_RUPEE,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_MASTER_SWORD,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_BLUE_FIRE,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_BUGS,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_FAIRY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_RED_POTION,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_GREEN_POTION,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_GERUDO_FORTRESS_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_FOREST_TEMPLE_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_FIRE_TEMPLE_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_WATER_TEMPLE_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_SHADOW_TEMPLE_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_GERUDO_TRAINING_GROUND_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_GANONS_CASTLE_SMALL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_GUARD_HOUSE_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_MARKET_BAZAAR_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_MARKET_POTION_SHOP_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_MASK_SHOP_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_MARKET_SHOOTING_GALLERY_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOMBCHU_BOWLING_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_TREASURE_CHEST_GAME_BUILDING_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOMBCHU_SHOP_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_RICHARDS_HOUSE_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_ALLEY_HOUSE_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_KAK_BAZAAR_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_KAK_POTION_SHOP_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_BOSS_HOUSE_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_GRANNYS_POTION_SHOP_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_SKULLTULA_HOUSE_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_IMPAS_HOUSE_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
MAIN_GAME,Rando::GIMESSAGE::RG_WINDMILL_KEY,HIGH_RISK,HIGH_RISK,HIGH,HIGH,L02C_HIGH_RISK_CONTEXTUAL_QA,NO,L02C certified; NONE
