id,english,spanish,source_context,evidence,present_in_master,residual_english,status
ACCESSIBILITY::filechoose_eng::target_switch,Targeting Mode - Switch,Modo de Fijar Blanco - Alternar,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::target_hold,Targeting Mode - Hold,Modo de Fijar Blanco - Mantener,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::language_english,Language - English,Idioma - Inglés,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::language_german,Language - German,Idioma - Alemán,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::language_french,Language - French,Idioma - Francés,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::quest_sel_vanilla,Quest - Original,Misión - Original,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::quest_sel_mq,Quest - Master Quest,Misión - Master Quest,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::quest_sel_randomizer,Quest - Randomizer,Misión - Randomizer,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::filechoose_eng::quest_sel_boss_rush,Quest - Boss Rush,Misión - Desafío de Jefes,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::256,Haunted Wasteland,Desierto Encantado,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::258,Gerudo Valley,Valle Gerudo,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::260,Lon Lon Ranch,Rancho Lon Lon,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::261,Market,Mercado,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::262,Hyrule Field,Pradera de Hyrule,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::264,Kakariko Village,Aldea Kakariko,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::265,Lost Woods,Bosque Perdido,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::266,Kokiri Forest,Bosque Kokiri,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::267,Zoras Domain,Dominio Zora,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::292,Hyrule Field,Pradera de Hyrule,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::293,Kakariko Village,Aldea Kakariko,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::294,Graveyard,Cementerio,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::295,Zoras River,Río Zora,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::296,Kokiri Forest,Bosque Kokiri,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::297,Sacred Forest Meadow,Pradera Sagrada del Bosque,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::298,Lake Hylia,Lago Hylia,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::299,Zoras Domain,Dominio Zora,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::300,Zoras Fountain,Fuente Zora,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::301,Gerudo Valley,Valle Gerudo,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
ACCESSIBILITY::kaleidoscope_eng::302,Lost Woods,Bosque Perdido,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,YES,NO,VERIFIED_PRESENT
