unicode,character,frequency,percentage,supported_now,future_slot,status
U+0020, ,55997,13.2925%,YES,0x20,STANDARD_ASCII_FONT
U+0065,e,42028,9.9766%,YES,0x65,STANDARD_ASCII_FONT
U+0061,a,34990,8.3059%,YES,0x61,STANDARD_ASCII_FONT
U+006F,o,26516,6.2943%,YES,0x6F,STANDARD_ASCII_FONT
U+0072,r,20548,4.8777%,YES,0x72,STANDARD_ASCII_FONT
U+006E,n,20000,4.7476%,YES,0x6E,STANDARD_ASCII_FONT
U+0073,s,17410,4.1328%,YES,0x73,STANDARD_ASCII_FONT
U+006C,l,16335,3.8776%,YES,0x6C,STANDARD_ASCII_FONT
U+0064,d,15353,3.6445%,YES,0x64,STANDARD_ASCII_FONT
U+0075,u,14827,3.5196%,YES,0x75,STANDARD_ASCII_FONT
U+0069,i,14631,3.4731%,YES,0x69,STANDARD_ASCII_FONT
U+0074,t,12790,3.0361%,YES,0x74,STANDARD_ASCII_FONT
U+0063,c,10209,2.4234%,YES,0x63,STANDARD_ASCII_FONT
U+000A,'\n',8420,1.9987%,YES,0x0A,STANDARD_ASCII_FONT
U+002D,-,8142,1.9327%,YES,0x2D,STANDARD_ASCII_FONT
U+0070,p,7126,1.6916%,YES,0x70,STANDARD_ASCII_FONT
U+006D,m,6832,1.6218%,YES,0x6D,STANDARD_ASCII_FONT
U+002E,.,6424,1.5249%,YES,0x2E,STANDARD_ASCII_FONT
U+0023,#,4750,1.1276%,YES,0x23,STANDARD_ASCII_FONT
U+0062,b,3833,0.9099%,YES,0x62,STANDARD_ASCII_FONT
U+0071,q,3737,0.8871%,YES,0x71,STANDARD_ASCII_FONT
U+0045,E,3478,0.8256%,YES,0x45,STANDARD_ASCII_FONT
U+0067,g,3356,0.7966%,YES,0x67,STANDARD_ASCII_FONT
U+0076,v,3108,0.7378%,YES,0x76,STANDARD_ASCII_FONT
U+0050,P,2915,0.6920%,YES,0x50,STANDARD_ASCII_FONT
U+0068,h,2780,0.6599%,YES,0x68,STANDARD_ASCII_FONT
U+0047,G,2559,0.6075%,YES,0x47,STANDARD_ASCII_FONT
U+0041,A,2555,0.6065%,YES,0x41,STANDARD_ASCII_FONT
U+0021,!,2532,0.6010%,YES,0x21,STANDARD_ASCII_FONT
U+0043,C,2485,0.5899%,YES,0x43,STANDARD_ASCII_FONT
U+00A1,¡,2483,0.5894%,YES,0x83,NATIVE_OR_REMAPPED_SLOT
U+0044,D,2339,0.5552%,YES,0x44,STANDARD_ASCII_FONT
U+0053,S,1962,0.4657%,YES,0x53,STANDARD_ASCII_FONT
U+0066,f,1831,0.4346%,YES,0x66,STANDARD_ASCII_FONT
U+002C,",",1806,0.4287%,YES,0x2C,STANDARD_ASCII_FONT
U+005B,[,1776,0.4216%,YES,0x5B,STANDARD_ASCII_FONT
U+005D,],1776,0.4216%,YES,0x5D,STANDARD_ASCII_FONT
U+0054,T,1666,0.3955%,YES,0x54,STANDARD_ASCII_FONT
U+0079,y,1653,0.3924%,YES,0x79,STANDARD_ASCII_FONT
U+00E1,á,1563,0.3710%,YES,0x91,NATIVE_OR_REMAPPED_SLOT
U+006A,j,1517,0.3601%,YES,0x6A,STANDARD_ASCII_FONT
U+00ED,í,1441,0.3421%,YES,0x99,NATIVE_OR_REMAPPED_SLOT
U+004D,M,1401,0.3326%,YES,0x4D,STANDARD_ASCII_FONT
U+0031,1,1383,0.3283%,YES,0x31,STANDARD_ASCII_FONT
U+007A,z,1232,0.2925%,YES,0x7A,STANDARD_ASCII_FONT
U+004C,L,1230,0.2920%,YES,0x4C,STANDARD_ASCII_FONT
U+0042,B,1201,0.2851%,YES,0x42,STANDARD_ASCII_FONT
U+0052,R,1084,0.2573%,YES,0x52,STANDARD_ASCII_FONT
U+0048,H,1067,0.2533%,YES,0x48,STANDARD_ASCII_FONT
U+006B,k,1024,0.2431%,YES,0x6B,STANDARD_ASCII_FONT
U+00F3,ó,947,0.2248%,YES,0x9A,NATIVE_OR_REMAPPED_SLOT
U+00E9,é,935,0.2219%,YES,0x96,NATIVE_OR_REMAPPED_SLOT
U+004F,O,848,0.2013%,YES,0x4F,STANDARD_ASCII_FONT
U+004E,N,769,0.1825%,YES,0x4E,STANDARD_ASCII_FONT
U+003F,?,757,0.1797%,YES,0x3F,STANDARD_ASCII_FONT
U+00F1,ñ,749,0.1778%,YES,0x92,NATIVE_OR_REMAPPED_SLOT
