byte_hex,byte_dec,zone,description,used_by_spanish,used_by_button_glyph,collision_result
0x00,0,CONTROL_CODE_ZONE,Message control character (0x00),NO,NO,SAFE_RESERVED_CONTROL
0x01,1,CONTROL_CODE_ZONE,Message control character (0x01),NO,NO,SAFE_RESERVED_CONTROL
0x02,2,CONTROL_CODE_ZONE,Message control character (0x02),NO,NO,SAFE_RESERVED_CONTROL
0x03,3,CONTROL_CODE_ZONE,Message control character (0x03),NO,NO,SAFE_RESERVED_CONTROL
0x04,4,CONTROL_CODE_ZONE,Message control character (0x04),NO,NO,SAFE_RESERVED_CONTROL
0x05,5,CONTROL_CODE_ZONE,Message control character (0x05),NO,NO,SAFE_RESERVED_CONTROL
0x06,6,CONTROL_CODE_ZONE,Message control character (0x06),NO,NO,SAFE_RESERVED_CONTROL
0x07,7,CONTROL_CODE_ZONE,Message control character (0x07),NO,NO,SAFE_RESERVED_CONTROL
0x08,8,CONTROL_CODE_ZONE,Message control character (0x08),NO,NO,SAFE_RESERVED_CONTROL
0x09,9,CONTROL_CODE_ZONE,Message control character (0x09),NO,NO,SAFE_RESERVED_CONTROL
0x0A,10,CONTROL_CODE_ZONE,Message control character (0x0A),NO,NO,SAFE_RESERVED_CONTROL
0x0B,11,CONTROL_CODE_ZONE,Message control character (0x0B),NO,NO,SAFE_RESERVED_CONTROL
0x0C,12,CONTROL_CODE_ZONE,Message control character (0x0C),NO,NO,SAFE_RESERVED_CONTROL
0x0D,13,CONTROL_CODE_ZONE,Message control character (0x0D),NO,NO,SAFE_RESERVED_CONTROL
0x0E,14,CONTROL_CODE_ZONE,Message control character (0x0E),NO,NO,SAFE_RESERVED_CONTROL
0x0F,15,CONTROL_CODE_ZONE,Message control character (0x0F),NO,NO,SAFE_RESERVED_CONTROL
0x10,16,CONTROL_CODE_ZONE,Message control character (0x10),NO,NO,SAFE_RESERVED_CONTROL
0x11,17,CONTROL_CODE_ZONE,Message control character (0x11),NO,NO,SAFE_RESERVED_CONTROL
0x12,18,CONTROL_CODE_ZONE,Message control character (0x12),NO,NO,SAFE_RESERVED_CONTROL
0x13,19,CONTROL_CODE_ZONE,Message control character (0x13),NO,NO,SAFE_RESERVED_CONTROL
0x14,20,CONTROL_CODE_ZONE,Message control character (0x14),NO,NO,SAFE_RESERVED_CONTROL
0x15,21,CONTROL_CODE_ZONE,Message control character (0x15),NO,NO,SAFE_RESERVED_CONTROL
0x16,22,CONTROL_CODE_ZONE,Message control character (0x16),NO,NO,SAFE_RESERVED_CONTROL
0x17,23,CONTROL_CODE_ZONE,Message control character (0x17),NO,NO,SAFE_RESERVED_CONTROL
0x18,24,CONTROL_CODE_ZONE,Message control character (0x18),NO,NO,SAFE_RESERVED_CONTROL
0x19,25,CONTROL_CODE_ZONE,Message control character (0x19),NO,NO,SAFE_RESERVED_CONTROL
0x1A,26,CONTROL_CODE_ZONE,Message control character (0x1A),NO,NO,SAFE_RESERVED_CONTROL
0x1B,27,CONTROL_CODE_ZONE,Message control character (0x1B),NO,NO,SAFE_RESERVED_CONTROL
0x1C,28,CONTROL_CODE_ZONE,Message control character (0x1C),NO,NO,SAFE_RESERVED_CONTROL
0x1D,29,CONTROL_CODE_ZONE,Message control character (0x1D),NO,NO,SAFE_RESERVED_CONTROL
0x1E,30,CONTROL_CODE_ZONE,Message control character (0x1E),NO,NO,SAFE_RESERVED_CONTROL
0x1F,31,CONTROL_CODE_ZONE,Message control character (0x1F),NO,NO,SAFE_RESERVED_CONTROL
0x20,32,ASCII_PRINTABLE_ZONE,Standard ASCII character ' ',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x21,33,ASCII_PRINTABLE_ZONE,Standard ASCII character '!',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x22,34,ASCII_PRINTABLE_ZONE,"Standard ASCII character '""'",YES (ASCII),NO,SAFE_STANDARD_ASCII
0x23,35,ASCII_PRINTABLE_ZONE,Standard ASCII character '#',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x24,36,ASCII_PRINTABLE_ZONE,Standard ASCII character '$',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x25,37,ASCII_PRINTABLE_ZONE,Standard ASCII character '%',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x26,38,ASCII_PRINTABLE_ZONE,Standard ASCII character '&',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x27,39,ASCII_PRINTABLE_ZONE,Standard ASCII character ''',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x28,40,ASCII_PRINTABLE_ZONE,Standard ASCII character '(',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x29,41,ASCII_PRINTABLE_ZONE,Standard ASCII character ')',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x2A,42,ASCII_PRINTABLE_ZONE,Standard ASCII character '*',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x2B,43,ASCII_PRINTABLE_ZONE,Standard ASCII character '+',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x2C,44,ASCII_PRINTABLE_ZONE,"Standard ASCII character ','",YES (ASCII),NO,SAFE_STANDARD_ASCII
0x2D,45,ASCII_PRINTABLE_ZONE,Standard ASCII character '-',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x2E,46,ASCII_PRINTABLE_ZONE,Standard ASCII character '.',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x2F,47,ASCII_PRINTABLE_ZONE,Standard ASCII character '/',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x30,48,ASCII_PRINTABLE_ZONE,Standard ASCII character '0',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x31,49,ASCII_PRINTABLE_ZONE,Standard ASCII character '1',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x32,50,ASCII_PRINTABLE_ZONE,Standard ASCII character '2',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x33,51,ASCII_PRINTABLE_ZONE,Standard ASCII character '3',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x34,52,ASCII_PRINTABLE_ZONE,Standard ASCII character '4',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x35,53,ASCII_PRINTABLE_ZONE,Standard ASCII character '5',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x36,54,ASCII_PRINTABLE_ZONE,Standard ASCII character '6',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x37,55,ASCII_PRINTABLE_ZONE,Standard ASCII character '7',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x38,56,ASCII_PRINTABLE_ZONE,Standard ASCII character '8',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x39,57,ASCII_PRINTABLE_ZONE,Standard ASCII character '9',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x3A,58,ASCII_PRINTABLE_ZONE,Standard ASCII character ':',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x3B,59,ASCII_PRINTABLE_ZONE,Standard ASCII character ';',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x3C,60,ASCII_PRINTABLE_ZONE,Standard ASCII character '<',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x3D,61,ASCII_PRINTABLE_ZONE,Standard ASCII character '=',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x3E,62,ASCII_PRINTABLE_ZONE,Standard ASCII character '>',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x3F,63,ASCII_PRINTABLE_ZONE,Standard ASCII character '?',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x40,64,ASCII_PRINTABLE_ZONE,Standard ASCII character '@',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x41,65,ASCII_PRINTABLE_ZONE,Standard ASCII character 'A',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x42,66,ASCII_PRINTABLE_ZONE,Standard ASCII character 'B',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x43,67,ASCII_PRINTABLE_ZONE,Standard ASCII character 'C',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x44,68,ASCII_PRINTABLE_ZONE,Standard ASCII character 'D',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x45,69,ASCII_PRINTABLE_ZONE,Standard ASCII character 'E',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x46,70,ASCII_PRINTABLE_ZONE,Standard ASCII character 'F',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x47,71,ASCII_PRINTABLE_ZONE,Standard ASCII character 'G',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x48,72,ASCII_PRINTABLE_ZONE,Standard ASCII character 'H',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x49,73,ASCII_PRINTABLE_ZONE,Standard ASCII character 'I',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x4A,74,ASCII_PRINTABLE_ZONE,Standard ASCII character 'J',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x4B,75,ASCII_PRINTABLE_ZONE,Standard ASCII character 'K',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x4C,76,ASCII_PRINTABLE_ZONE,Standard ASCII character 'L',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x4D,77,ASCII_PRINTABLE_ZONE,Standard ASCII character 'M',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x4E,78,ASCII_PRINTABLE_ZONE,Standard ASCII character 'N',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x4F,79,ASCII_PRINTABLE_ZONE,Standard ASCII character 'O',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x50,80,ASCII_PRINTABLE_ZONE,Standard ASCII character 'P',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x51,81,ASCII_PRINTABLE_ZONE,Standard ASCII character 'Q',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x52,82,ASCII_PRINTABLE_ZONE,Standard ASCII character 'R',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x53,83,ASCII_PRINTABLE_ZONE,Standard ASCII character 'S',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x54,84,ASCII_PRINTABLE_ZONE,Standard ASCII character 'T',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x55,85,ASCII_PRINTABLE_ZONE,Standard ASCII character 'U',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x56,86,ASCII_PRINTABLE_ZONE,Standard ASCII character 'V',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x57,87,ASCII_PRINTABLE_ZONE,Standard ASCII character 'W',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x58,88,ASCII_PRINTABLE_ZONE,Standard ASCII character 'X',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x59,89,ASCII_PRINTABLE_ZONE,Standard ASCII character 'Y',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x5A,90,ASCII_PRINTABLE_ZONE,Standard ASCII character 'Z',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x5B,91,ASCII_PRINTABLE_ZONE,Standard ASCII character '[',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x5C,92,ASCII_PRINTABLE_ZONE,Standard ASCII character '\',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x5D,93,ASCII_PRINTABLE_ZONE,Standard ASCII character ']',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x5E,94,ASCII_PRINTABLE_ZONE,Standard ASCII character '^',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x5F,95,ASCII_PRINTABLE_ZONE,Standard ASCII character '_',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x60,96,ASCII_PRINTABLE_ZONE,Standard ASCII character '`',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x61,97,ASCII_PRINTABLE_ZONE,Standard ASCII character 'a',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x62,98,ASCII_PRINTABLE_ZONE,Standard ASCII character 'b',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x63,99,ASCII_PRINTABLE_ZONE,Standard ASCII character 'c',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x64,100,ASCII_PRINTABLE_ZONE,Standard ASCII character 'd',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x65,101,ASCII_PRINTABLE_ZONE,Standard ASCII character 'e',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x66,102,ASCII_PRINTABLE_ZONE,Standard ASCII character 'f',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x67,103,ASCII_PRINTABLE_ZONE,Standard ASCII character 'g',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x68,104,ASCII_PRINTABLE_ZONE,Standard ASCII character 'h',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x69,105,ASCII_PRINTABLE_ZONE,Standard ASCII character 'i',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x6A,106,ASCII_PRINTABLE_ZONE,Standard ASCII character 'j',YES (ASCII),NO,SAFE_STANDARD_ASCII
