id,domain,length,pages,max_lines_per_page,max_line_length,has_choice,has_player,risk_tier,reason
Z_MESSAGE_OTR::L118,MAIN_GAME,102,1,1,102,NO,NO,HIGH_LAYOUT_RISK,Lines per page (1) > 4 or line length (102) > 52 chars
Z_MESSAGE_OTR::L126,MAIN_GAME,87,1,3,40,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Z_MESSAGE_OTR::L134,MAIN_GAME,91,1,3,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Z_MESSAGE_OTR::L142,MAIN_GAME,4,1,1,4,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Z_MESSAGE_OTR::L148,MAIN_GAME,101,1,3,54,NO,NO,HIGH_LAYOUT_RISK,Lines per page (3) > 4 or line length (54) > 52 chars
Z_MESSAGE_OTR::L154,MAIN_GAME,87,1,3,44,NO,NO,NEEDS_RUNTIME_CHECK,Boundary line length (44) or dynamic [PLAYER] token on line
Z_MESSAGE_OTR::L160,MAIN_GAME,56,1,4,34,YES,NO,NEEDS_RUNTIME_CHECK,Boundary line length (34) or dynamic [PLAYER] token on line
Z_MESSAGE_OTR::L165,MAIN_GAME,103,2,4,33,YES,NO,NEEDS_RUNTIME_CHECK,Boundary line length (33) or dynamic [PLAYER] token on line
Z_MESSAGE_OTR::L172,MAIN_GAME,101,2,1,88,NO,NO,HIGH_LAYOUT_RISK,Lines per page (1) > 4 or line length (88) > 52 chars
Z_MESSAGE_OTR::L177,MAIN_GAME,8,1,1,8,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GREG_RUPEE,MAIN_GAME,20,1,1,20,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_MASTER_SWORD,MAIN_GAME,31,1,1,31,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTLE_WITH_BLUE_FIRE,MAIN_GAME,74,1,2,41,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTLE_WITH_BUGS,MAIN_GAME,88,1,3,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTLE_WITH_FAIRY,MAIN_GAME,56,1,2,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTLE_WITH_RED_POTION,MAIN_GAME,68,1,3,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTLE_WITH_GREEN_POTION,MAIN_GAME,70,1,3,39,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GERUDO_FORTRESS_SMALL_KEY,MAIN_GAME,59,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FOREST_TEMPLE_SMALL_KEY,MAIN_GAME,53,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FIRE_TEMPLE_SMALL_KEY,MAIN_GAME,52,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_WATER_TEMPLE_SMALL_KEY,MAIN_GAME,51,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_SMALL_KEY,MAIN_GAME,55,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_SMALL_KEY,MAIN_GAME,55,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_SMALL_KEY,MAIN_GAME,50,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GERUDO_TRAINING_GROUND_SMALL_KEY,MAIN_GAME,67,1,2,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GANONS_CASTLE_SMALL_KEY,MAIN_GAME,53,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GUARD_HOUSE_KEY,MAIN_GAME,47,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_MARKET_BAZAAR_KEY,MAIN_GAME,44,1,2,25,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_MARKET_POTION_SHOP_KEY,MAIN_GAME,59,1,2,31,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_MASK_SHOP_KEY,MAIN_GAME,47,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_MARKET_SHOOTING_GALLERY_KEY,MAIN_GAME,56,1,2,28,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOMBCHU_BOWLING_KEY,MAIN_GAME,46,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_TREASURE_CHEST_GAME_BUILDING_KEY,MAIN_GAME,66,1,2,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
