domain,id,original_length,encoded_bytes,decoded_match,unsupported_char_count,verdict
MAIN_GAME,Z_MESSAGE_OTR::L118,102,96,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L126,87,87,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L134,91,88,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L142,4,1,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L148,101,101,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L154,87,87,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L160,56,53,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L165,103,89,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L172,101,90,YES,0,PASS
MAIN_GAME,Z_MESSAGE_OTR::L177,8,8,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_GREG_RUPEE,20,20,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_MASTER_SWORD,31,31,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_BLUE_FIRE,74,74,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_BUGS,88,88,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_FAIRY,56,56,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_RED_POTION,68,68,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTLE_WITH_GREEN_POTION,70,70,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_GERUDO_FORTRESS_SMALL_KEY,59,59,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_FOREST_TEMPLE_SMALL_KEY,53,53,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_FIRE_TEMPLE_SMALL_KEY,52,52,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_WATER_TEMPLE_SMALL_KEY,51,51,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_SMALL_KEY,55,55,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_SHADOW_TEMPLE_SMALL_KEY,55,55,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_SMALL_KEY,50,50,YES,0,PASS
MAIN_GAME,Rando::GIMESSAGE::RG_GERUDO_TRAINING_GROUND_SMALL_KEY,67,67,YES,0,PASS
