id,plain_text,source_file,category,classification
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L23,Small,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L24,Normal,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L25,Large,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L26,X-Large,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L32,Orange,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L33,Green,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L36,Blue,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L38,Indigo,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L39,Violet,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L40,Purple,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L41,Brown,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L42,Gray,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L47,Three-Point,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L48,Linear,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L49,None,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L53,Hidden,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L57,Default,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L58,Authentic,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L99,UNKNOWN,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L127,Settings,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L127,Menu.SettingsSidebarSection,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,INTERNAL_IDENTIFIER
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L128,Settings,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L128,General,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L129,Settings,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L129,General,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L134,Menu.Theme,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,INTERNAL_IDENTIFIER
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L149,Menu.BackgroundOpacity,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,INTERNAL_IDENTIFIER
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L156,CursorVisibility,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L160,CursorVisibility,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L165,Menu.SidebarSearch,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,INTERNAL_IDENTIFIER
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L168,Menu.SidebarSearch,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,INTERNAL_IDENTIFIER
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L177,Menu.SearchAutofocus,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,INTERNAL_IDENTIFIER
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L189,Boot,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L191,BootSequence,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L207,Languages,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L209,TitleScreenTranslation,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L211,Language,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L212,Languages,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L223,Accessibility,soh/soh/SohGui/SohMenuSettings.cpp,CONFIGURATION,PLAYER_FACING
