term_en,canonical_es_419,main_game_status,randomizer_status,soh_ui_status,accessibility_status,verdict
Save,Guardar,PASS,PASS,PASS,PASS,CERTIFIED
Load,Cargar,PASS,N/A,PASS,PASS,CERTIFIED
Target / Lock-on,Fijar Blanco / Fijar,PASS,N/A,PASS,PASS,CERTIFIED
Shield,Escudo,PASS,PASS,PASS,PASS,CERTIFIED
Sword,Espada,PASS,PASS,PASS,PASS,CERTIFIED
Hookshot,Gancho,PASS,PASS,PASS,PASS,CERTIFIED
Longshot,Gancho Largo,PASS,PASS,PASS,PASS,CERTIFIED
Skulltula,Skulltula,PASS,PASS,PASS,PASS,CERTIFIED
Token,Token,PASS,PASS,PASS,PASS,CERTIFIED
Heart Piece,Pieza de Corazón,PASS,PASS,PASS,PASS,CERTIFIED
Heart Container,Contenedor de Corazón,PASS,PASS,PASS,PASS,CERTIFIED
Rupee,Rupia,PASS,PASS,PASS,PASS,CERTIFIED
Tunic,Túnica,PASS,PASS,PASS,PASS,CERTIFIED
Boots,Botas,PASS,PASS,PASS,PASS,CERTIFIED
Hover Boots,Botas Flotantes,PASS,PASS,PASS,PASS,CERTIFIED
Iron Boots,Botas de Hierro,PASS,PASS,PASS,PASS,CERTIFIED
Kokiri Sword,Espada Kokiri,PASS,PASS,PASS,PASS,CERTIFIED
Master Sword,Espada Maestra,PASS,PASS,PASS,PASS,CERTIFIED
Biggoron Sword,Espada Biggoron,PASS,PASS,PASS,PASS,CERTIFIED
Mirror Shield,Escudo Espejo,PASS,PASS,PASS,PASS,CERTIFIED
Hylian Shield,Escudo Hyliano,PASS,PASS,PASS,PASS,CERTIFIED
