id,english,spanish_before,spanish_after,reason,context,evidence,risk,confidence
0x0054,You got the Hover Boots!...,¡Obtuviste las Botas Voladoras! Con estas misteriosas botas puedes volar sobre el suelo. ¿Lo malo? ¡Sin tracción! --- PAGE --- Puedes incluso usarlas para caminar por períodos cortos donde no hay suelo firme. ¡Sé valiente y confía en las botas!,¡Obtuviste las Botas Flotantes! Con estas misteriosas botas puedes volar sobre el suelo. ¿Lo malo? ¡Sin tracción! --- PAGE --- Puedes incluso usarlas para caminar por períodos cortos donde no hay suelo firme. ¡Sé valiente y confía en las botas!,Align with official Nintendo LATAM terminology and glossary 'Botas Flotantes',Hover Boots treasure chest in Shadow Temple,"GLOSSARY_ES_419.csv lines 53/58; boots hover horizontally, do not fly upward",CRITICAL_GAMEPLAY,HIGH
0x0101,"Look, look, [PLAYER]! You can see down below this web using [C-Right]!","¡Mira, mira, [PLAYER]! ¡Puedes ver debajo de esta telaraña usando [C-Right]!","¡Mira, mira, [PLAYER]! ¡Puedes ver allá abajo a través de esta telaraña usando [C-Right]!",Clarify spatial puzzle perspective (looking down through the web from 2F),Deku Tree 2F Navi prompt for dropping onto ground floor web,Source call site & player position on 2F looking down through web opening,CRITICAL_GAMEPLAY,HIGH
ACCESSIBILITY::filechoose_eng::target_switch,Targeting Mode - Switch,Targeting Mode - Switch,Modo de Fijar Blanco - Alternar,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::filechoose_eng::target_hold,Targeting Mode - Hold,Targeting Mode - Hold,Modo de Fijar Blanco - Mantener,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::filechoose_eng::language_english,Language - English,Language - English,Idioma - Inglés,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::filechoose_eng::language_german,Language - German,Language - German,Idioma - Alemán,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::filechoose_eng::language_french,Language - French,Language - French,Idioma - Francés,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::filechoose_eng::quest_sel_vanilla,Quest - Original,Quest - Original,Misión - Original,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::filechoose_eng::quest_sel_mq,Quest - Master Quest,Quest - Master Quest,Misión - Master Quest,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::filechoose_eng::quest_sel_randomizer,Quest - Randomizer,Quest - Randomizer,Misión - Randomizer,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
