id,system,max_line_length,line_count,page_count,risk_class,verdict,notes
Z_MESSAGE_OTR::L118,MAIN_GAME,102,1,1,LINE_WIDTH_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
Z_MESSAGE_OTR::L148,MAIN_GAME,54,3,1,LINE_WIDTH_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
Z_MESSAGE_OTR::L165,MAIN_GAME,33,8,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
Z_MESSAGE_OTR::L172,MAIN_GAME,88,2,2,LINE_WIDTH_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
Rando::CUSTOM_MSG::L589,MAIN_GAME,71,1,1,LINE_WIDTH_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
Rando::CUSTOM_MSG::L4609,MAIN_GAME,87,1,1,LINE_WIDTH_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0018,MAIN_GAME,33,14,4,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0019,MAIN_GAME,34,7,3,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0020,MAIN_GAME,37,5,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0024,MAIN_GAME,38,20,5,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0026,MAIN_GAME,41,20,5,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0028,MAIN_GAME,38,6,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0029,MAIN_GAME,46,7,3,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x002E,MAIN_GAME,37,13,3,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0030,MAIN_GAME,49,13,3,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0031,MAIN_GAME,43,8,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0032,MAIN_GAME,45,8,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0033,MAIN_GAME,36,8,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0034,MAIN_GAME,36,7,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0035,MAIN_GAME,36,6,2,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0036,MAIN_GAME,35,12,3,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
0x0037,MAIN_GAME,36,11,3,PAGE_OVERFLOW_WARNING,ACCEPTABLE,Text auto-wraps cleanly within ImGui / SoH proportional font renderer
