category,term_en,term_es_419,context,notes
character,Link,Link,protagonist,name remains unchanged
character,Zelda,Zelda,princess,name remains unchanged
character,Impa,Impa,Sheikah elder,name remains unchanged
character,Ganondorf,Ganondorf,main antagonist,name remains unchanged
character,Ganon,Ganon,beast form,name remains unchanged
character,Sheik,Sheik,disguise of Zelda,name remains unchanged
character,Navi,Navi,fairy companion,name remains unchanged
character,Fi,Fi,spirit of the Master Sword,name remains unchanged
character,Rauru,Rauru,Sage of Light,name remains unchanged
character,Saria,Saria,fairy friend from Kokiri Forest,name remains unchanged
character,Malon,Malon,ranch girl,name remains unchanged
character,Talon,Talon,ranch owner,name remains unchanged
character,Ingo,Ingo,ranch hand,name remains unchanged
character,Darunia,Darunia,Goron leader,name remains unchanged
character,Ruto,Ruto,Zora princess,name remains unchanged
character,Impa,Impa,Sheikah guardian,name remains unchanged
character,Kaepora Gaebora,Kaepora Gaebora,wise owl,name remains unchanged
character,Great Fairy,Gran Hada,fairy NPC,hairía in some dialects — use Gran Hada (LATAM)
character, Skulltula,Skulltula,spider enemy,name remains unchanged
character,Happy Mask Salesman,Vendedor de Máscaras Comerciante,happy mask shop,use Vendedor de Máscaras
character,Shiek,Sheik,Zelda's disguise,name remains unchanged
location,Hyrule,Hyrule,kingdom,name remains unchanged
location,Kokiri Forest,Bosque Kokiri,starting area,Kokiri stays as proper noun
location,Death Mountain,Monte Muerte,volcanic area,Monte Muerte (LATAM)
location,Lake Hylia,Lago Hylia,large lake,Hylia stays as proper noun
location,Gerudo Valley,Valle Gerudo,desert valley,Gerudo stays as proper noun
location,Legend Temple,Templo Legend,first dungeon,Templo Legend
location,Forest Temple,Templo del Bosque,forest dungeon,Templo del Bosque
location,Fire Temple,Templo del Fuego,fire dungeon,Templo del Fuego
location,Water Temple,Templo del Agua,water dungeon,Templo del Agua
location,Spirit Temple,Templo del Espíritu,spirit dungeon,Templo del Espíritu
location,Shadow Temple,Templo de la Sombra,shadow dungeon,Templo de la Sombra
location,Inside Ganon's Castle,Interior del Castillo de Ganon,final dungeon,Interior del Castillo de Ganon
location,Hyrule Castle, Castillo de Hyrule,main castle,castillo de Hyrule (lowercase unless start of sentence)
location,Castle Town,Pueblo del Castillo,town area,Pueblo del Castillo
location,Kakariko Village,Aldea Kakariko,Kakariko village,Aldea Kakariko
location,Goron City,Ciudad Goron,Goron settlement,Ciudad Goron
location,Zora's Domain,Domino Zora,Zora area,Domino Zora
location,Zora's Fountain, Fuente Zora,fountain,Fuente Zora
location,Hidden Village,Aldea Oculta,hidden area,Aldea Oculta
location,Gerudo Training Ground,Entrenamiento Gerudo,training area,Entrenamiento Gerudo
location,Temple of Time,Templo del Tiempo,sacred temple,Templo del Tiempo
location,Market,Pueblo,marketplace,use Pueblo or mercado
location,Lost Woods,Bosque Perdido,forest area,Bosque Perdido
location,Skulltula House,Casa Skulltula,cursed house,Casa Skulltula
location,Graveyard,Cementerio,burial ground,Cementerio
location,Domain Zora,Domino Zora,Zora area,alternate for Zora's Domain
item,Kokiri Sword,Espada Kokiri,first sword,Espada Kokiri
item,Master Sword,Espada Maestra,sacred sword,Espada Maestra
item,Biggoron Sword,Espada Biggoron,largest sword,Espada Biggoron
item,Broken Biggoron Sword,Espada Biggoron Rota,quest item,Espada Biggoron Rota
item,Hover Boots, Botas Flotantes,hover ability,Botas Flotantes
item,Iron Boots,Botas de Hierro,heavy boots,Botas de Hierro
item,Kokiri Tunic,Túnice Kokiri,starting tunic,Túnice Kokiri
item,Goron Tunic,Túnice Goron,fire tunic,Túnice Goron
item,Zora Tunic,Túnice Zora,water tunic,Túnice Zora
item,Hover Boots,Botas Flotantes,hover ability,Botas Flotantes
item,Deku Shield,Escudo Deku,wooden shield,Escudo Deku
