resource_id,resource_path,material_category,confidence,evidence,scene_or_object,transparent,alpha_test,emissive_candidate,water_candidate,ui_protected,needs_manual_review
gChristmasGreenTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasGreenTreasureChestFrontTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gChristmasRedTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasRedTreasureChestFrontTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gGoldTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gGoldTreasureChestFrontTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gGoldTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gGoldTreasureChestSideAndTopTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gKeyTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gKeyTreasureChestFrontTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gKeyTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gKeyTreasureChestSideAndTopTex.rgb5a1.png,METAL,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",group:objects,,,,,yes,yes
gSkullTreasureChestFrontTex.rgb5a1.png,__PNG__/custom/objects/object_box/gSkullTreasureChestFrontTex.rgb5a1.png,BONE,MEDIUM,"bone keyword; metal keyword; wood keyword; multiple categories plausible: BONE, METAL, WOOD",group:objects,,,,,yes,yes
gSkullTreasureChestSideAndTopTex.rgb5a1.png,__PNG__/custom/objects/object_box/gSkullTreasureChestSideAndTopTex.rgb5a1.png,BONE,MEDIUM,"bone keyword; metal keyword; wood keyword; multiple categories plausible: BONE, METAL, WOOD",group:objects,,,,,yes,yes
