resource,special_type,reason,confidence,recommended_future_path
ABtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
ABtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
AnalogStick.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
AnalogStickOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
BBtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
BBtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CDown.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CDownOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CLeft.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CLeftOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CRight.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CRightOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CUp.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
CUpOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadDown.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadDownOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadLeft.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadLeftOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadRight.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadRightOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadUp.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
DPadUpOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
InputViewerBackground.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
LBtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
LBtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
LTBtn.i4.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
Mod1.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
Mod1Outline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
Mod2.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
Mod2Outline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
RBtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
RBtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
RightStick.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
RightStickOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
StartBtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
StartBtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
ZBtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
ZBtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH,UI-protected 2D path: no fog/PBR/world-lighting/RTX ever
gArrowDown.ia16.png,TRANSPARENT/ALPHA_TEST,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,HIGH,alpha-test threshold mapping (0.5) to original AC_THRESHOLD behavior
gArrowUp.ia16.png,TRANSPARENT/ALPHA_TEST,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,HIGH,alpha-test threshold mapping (0.5) to original AC_THRESHOLD behavior
gDPad.ia16.png,TRANSPARENT/ALPHA_TEST,IA format (ia16) carries alpha -> transparency/alpha-test likely; UI-style keyword present but resource is world-grouped: manual check,LOW,alpha-test threshold mapping (0.5) to original AC_THRESHOLD behavior
