resource,category,reason,confidence
gChristmasGreenTreasureChestFrontTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gChristmasRedTreasureChestFrontTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gGoldTreasureChestFrontTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gGoldTreasureChestSideAndTopTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gKeyTreasureChestFrontTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gKeyTreasureChestSideAndTopTex.rgb5a1.png,METAL,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",HIGH
gSkullTreasureChestFrontTex.rgb5a1.png,BONE,"bone keyword; metal keyword; wood keyword; multiple categories plausible: BONE, METAL, WOOD",HIGH
gSkullTreasureChestSideAndTopTex.rgb5a1.png,BONE,"bone keyword; metal keyword; wood keyword; multiple categories plausible: BONE, METAL, WOOD",HIGH
gTitleBossRushSubtitleTex.rgba32.png,UNKNOWN,UI-style keyword present but resource is world-grouped: manual check,HIGH
gTitleRandomizerSubtitleTex.rgba32.png,UNKNOWN,UI-style keyword present but resource is world-grouped: manual check,HIGH
ABtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
ABtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
AnalogStick.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
AnalogStickOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
BBtn.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
BBtnOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
CDown.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
CDownOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
CLeft.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
CLeftOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
CRight.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
CRightOutline.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
CUp.png,UI_2D,controller button art (custom/textures/buttons) = screen UI,HIGH
