resource,object_or_scene,confidence,reason,partial_metal_risk
gChristmasGreenTreasureChestFrontTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gChristmasRedTreasureChestFrontTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gGoldTreasureChestFrontTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gGoldTreasureChestSideAndTopTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gKeyTreasureChestFrontTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gKeyTreasureChestSideAndTopTex.rgb5a1.png,group:objects,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gArrowDown.ia16.png,group:textures,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gArrowUp.ia16.png,group:textures,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gDoorChainTex,object:gameplay_dangeon_keep,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gPushBlockBaseTex,object:gameplay_dangeon_keep,MEDIUM,"metal keyword; stone keyword; multiple categories plausible: METAL, STONE",check
gPushBlockGrayTex,object:gameplay_dangeon_keep,MEDIUM,"metal keyword; stone keyword; multiple categories plausible: METAL, STONE",check
gPushBlockSilverTex,object:gameplay_dangeon_keep,MEDIUM,"metal keyword; stone keyword; multiple categories plausible: METAL, STONE",check
gUnusedGoldLockTex,object:gameplay_dangeon_keep,HIGH,metal keyword,check
gBgBombWallBrokenTex,object:gameplay_field_keep,MEDIUM,"metal keyword; stone keyword; multiple categories plausible: METAL, STONE",check
gBgBombwallNormalTex,object:gameplay_field_keep,MEDIUM,"metal keyword; stone keyword; multiple categories plausible: METAL, STONE",check
gArrowCursorTex,object:gameplay_keep,HIGH,metal keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely; UI-style keyword present but resource is world-grouped: manual check,check
gArrowFletchingTex,object:gameplay_keep,HIGH,metal keyword,check
gArrowShaftTex,object:gameplay_keep,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",check
gBombCapTex,object:gameplay_keep,HIGH,metal keyword,check
gDoorMetalBarsTex,object:gameplay_keep,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD; IA format (ia8) carries alpha -> transparency/alpha-test likely",yes
gDropArrows1Tex,object:gameplay_keep,HIGH,metal keyword,check
gDropArrows2Tex,object:gameplay_keep,HIGH,metal keyword,check
gDropArrows3Tex,object:gameplay_keep,HIGH,metal keyword,check
gDropBombTex,object:gameplay_keep,HIGH,metal keyword,check
gDropKeySmallTex,object:gameplay_keep,HIGH,metal keyword,check
gEffBombExplosion1Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gEffBombExplosion2Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gEffBombExplosion3Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gEffBombExplosion4Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gEffBombExplosion5Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gEffBombExplosion6Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gEffBombExplosion7Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gEffBombExplosion8Tex,object:gameplay_keep,HIGH,metal keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely,check
gHylianShieldDesignTex,object:gameplay_keep,MEDIUM,"metal keyword; wood keyword; multiple categories plausible: METAL, WOOD",yes
gRupeeBlueTex,object:gameplay_keep,HIGH,metal keyword,check
gRupeeGreenTex,object:gameplay_keep,HIGH,metal keyword,check
gRupeeLightRedTex,object:gameplay_keep,HIGH,metal keyword,check
gRupeeOrangeTex,object:gameplay_keep,HIGH,metal keyword,check
gRupeePinkTex,object:gameplay_keep,HIGH,metal keyword,check
gRupeeRedTex,object:gameplay_keep,HIGH,metal keyword,check
gRupeeSilverTex,object:gameplay_keep,HIGH,metal keyword,check
gUnusedDropArrows1Tex,object:gameplay_keep,HIGH,metal keyword,check
