resource,candidate_1,candidate_2,reason_uncertain,recommended_validation
gChristmasGreenTreasureChestFrontTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gChristmasGreenTreasureChestSideAndTopTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gChristmasRedTreasureChestFrontTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gChristmasRedTreasureChestSideAndTopTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gGoldTreasureChestFrontTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gGoldTreasureChestSideAndTopTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gKeyTreasureChestFrontTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gKeyTreasureChestSideAndTopTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gSkullTreasureChestFrontTex.rgb5a1.png,BONE,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gSkullTreasureChestSideAndTopTex.rgb5a1.png,BONE,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gDoorChainTex,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEyeSwitchGoldClosedTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEyeSwitchGoldClosingTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEyeSwitchGoldOpenTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEyeSwitchGoldOpeningTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEyeSwitchSilverClosedTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEyeSwitchSilverHalfTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEyeSwitchSilverOpenTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gPushBlockBaseTex,METAL,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gPushBlockGrayTex,METAL,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gPushBlockSilverTex,METAL,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_000000,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_000200,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0005C0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_001280,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0078A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_007CA0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0080A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0088A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_00D8A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_00E0A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_00F8A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0108A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0118A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_011AA0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_011CA0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_012CA0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0134A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_013CA0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_013CB0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
