duplicate_group,sha256,size_bytes,is_canonical,canonical_path,duplicate_path,action
DUP_GRP_0001,2ea27c4afe83211098d13738053cae64009883ce57abf770602ba20f438ac2a5,204677,YES,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file1.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file1.sav,KEEP_IN_GIT
DUP_GRP_0001,2ea27c4afe83211098d13738053cae64009883ce57abf770602ba20f438ac2a5,204677,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file1.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\work\file1.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0001,2ea27c4afe83211098d13738053cae64009883ce57abf770602ba20f438ac2a5,204677,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file1.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\snapshots\20260916_005140_236C10183930\file1.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0001,2ea27c4afe83211098d13738053cae64009883ce57abf770602ba20f438ac2a5,204677,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file1.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\runtime\build-test\Save_PRE_TASK03_TEST\file1.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0001,2ea27c4afe83211098d13738053cae64009883ce57abf770602ba20f438ac2a5,204677,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file1.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\runtime\working\Save\file1.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0002,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,48104,YES,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file2.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file2.sav,KEEP_IN_GIT
DUP_GRP_0002,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,48104,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file2.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\work\file2.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0002,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,48104,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file2.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\snapshots\20260916_005140_236C10183930\file2.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0002,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,48104,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file2.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\runtime\build-test\Save_PRE_TASK03_TEST\file2.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0002,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,48104,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file2.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\runtime\build-test\Save_V03_1_BACKUP\file2.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0002,7263453e0d6a5e597461b7c2f229ccd76c1dfd3749931b5903000de993fca046,48104,NO,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\file2.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\runtime\working\Save\file2.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0003,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,82,NO,C:\Users\danie\Desktop\zel-da-OFT-esp\localization\glyphs\g02c\Save\global.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\baseline\global.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0003,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,82,NO,C:\Users\danie\Desktop\zel-da-OFT-esp\localization\glyphs\g02c\Save\global.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\fixtures\work\global.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0003,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,82,NO,C:\Users\danie\Desktop\zel-da-OFT-esp\localization\glyphs\g02c\Save\global.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\backup_workspace\s02a\snapshots\20260916_005140_236C10183930\global.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0003,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,82,NO,C:\Users\danie\Desktop\zel-da-OFT-esp\localization\glyphs\g02c\Save\global.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\glyph_workspace\g02c\Save\global.sav,EXCLUDE_OR_REFERENCE
DUP_GRP_0003,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,82,NO,C:\Users\danie\Desktop\zel-da-OFT-esp\localization\glyphs\g02c\Save\global.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\localization_workspace\spanish\integration_l03b1\prestate_playable_spanish\global.sav.bak_pre_spanish,EXCLUDE_OR_REFERENCE
DUP_GRP_0003,0507387c98b78147330533d865a1900d36e13956e8c952cafd15f61f1a9f179e,82,NO,C:\Users\danie\Desktop\zel-da-OFT-esp\localization\glyphs\g02c\Save\global.sav,C:\Users\danie\Desktop\Ocarina_CouchEdition_DEV\runtime\build-test\Save\global.sav.baseline_pre_test,EXCLUDE_OR_REFERENCE
