asset_id,path,width_if_known,height_if_known,format_if_known,alpha,usage_type,scene_or_object,combiner_type,render_mode,material_candidate,risk,notes
"gItemIconDekuStickTex","__OTR__textures/icon_item_static/gItemIconDekuStickTex","32","32","RGBA32","YES","sprite/HUD","Deku Stick inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gItemIconBombTex","__OTR__textures/icon_item_static/gItemIconBombTex","32","32","RGBA32","YES","sprite/HUD","Bomb inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gItemIconBowTex","__OTR__textures/icon_item_static/gItemIconBowTex","32","32","RGBA32","YES","sprite/HUD","Fairy Bow inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gItemIconOcarinaOfTimeTex","__OTR__textures/icon_item_static/gItemIconOcarinaOfTimeTex","32","32","RGBA32","YES","sprite/HUD","Ocarina of Time inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gItemIconHookshotTex","__OTR__textures/icon_item_static/gItemIconHookshotTex","32","32","RGBA32","YES","sprite/HUD","Hookshot inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gItemIconLensOfTruthTex","__OTR__textures/icon_item_static/gItemIconLensOfTruthTex","32","32","RGBA32","YES","sprite/HUD","Lens of Truth inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gItemIconBottleFairyTex","__OTR__textures/icon_item_static/gItemIconBottleFairyTex","32","32","RGBA32","YES","sprite/HUD","Bottled Fairy inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gItemIconSwordMasterTex","__OTR__textures/icon_item_static/gItemIconSwordMasterTex","32","32","RGBA32","YES","sprite/HUD","Master Sword inventory icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_static.xml; 32x32 item sprite."
"gQuestIconMedallionForestTex","__OTR__textures/icon_item_24_static/gQuestIconMedallionForestTex","24","24","RGBA32","YES","HUD","Forest Medallion quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gQuestIconMedallionFireTex","__OTR__textures/icon_item_24_static/gQuestIconMedallionFireTex","24","24","RGBA32","YES","HUD","Fire Medallion quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gQuestIconMedallionWaterTex","__OTR__textures/icon_item_24_static/gQuestIconMedallionWaterTex","24","24","RGBA32","YES","HUD","Water Medallion quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gQuestIconMedallionSpiritTex","__OTR__textures/icon_item_24_static/gQuestIconMedallionSpiritTex","24","24","RGBA32","YES","HUD","Spirit Medallion quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gQuestIconMedallionShadowTex","__OTR__textures/icon_item_24_static/gQuestIconMedallionShadowTex","24","24","RGBA32","YES","HUD","Shadow Medallion quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gQuestIconMedallionLightTex","__OTR__textures/icon_item_24_static/gQuestIconMedallionLightTex","24","24","RGBA32","YES","HUD","Light Medallion quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gQuestIconKokiriEmeraldTex","__OTR__textures/icon_item_24_static/gQuestIconKokiriEmeraldTex","24","24","RGBA32","YES","HUD","Kokiri Emerald quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gQuestIconDungeonMapTex","__OTR__textures/icon_item_24_static/gQuestIconDungeonMapTex","24","24","RGBA32","YES","HUD","Dungeon map quest icon","UNKNOWN","UNKNOWN","CLASSIC_ALPHA","LOW","Source XML: N64_PAL_11 textures/icon_item_24_static.xml; 24x24 quest sprite."
"gSunriseSkybox1Tex","__OTR__textures/vr_fine0_static/gSunriseSkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Hyrule Field sunrise skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_fine0_pal_static TLUT; XML tile is 128x64."
"gDaySkybox1Tex","__OTR__textures/vr_fine1_static/gDaySkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Hyrule Field day skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_fine1_pal_static TLUT; XML tile is 128x64."
"gSunsetSkybox1Tex","__OTR__textures/vr_fine2_static/gSunsetSkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Hyrule Field sunset skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_fine2_pal_static TLUT; XML tile is 128x64."
"gNightSkybox1Tex","__OTR__textures/vr_fine3_static/gNightSkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Hyrule Field night skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_fine3_pal_static TLUT; XML tile is 128x64."
"gSunriseOvercastSkybox1Tex","__OTR__textures/vr_cloud0_static/gSunriseOvercastSkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Overcast sunrise skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_cloud0_pal_static TLUT; XML tile is 128x64."
"gDayOvercastSkybox1Tex","__OTR__textures/vr_cloud1_static/gDayOvercastSkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Overcast day skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_cloud1_pal_static TLUT; XML tile is 128x64."
"gSunsetOvercastSkybox1Tex","__OTR__textures/vr_cloud2_static/gSunsetOvercastSkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Overcast sunset skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_cloud2_pal_static TLUT; XML tile is 128x64."
"gNightOvercastSkybox1Tex","__OTR__textures/vr_cloud3_static/gNightOvercastSkybox1Tex","128","64","CI8","UNKNOWN","3D/background","Overcast night skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_cloud3_pal_static TLUT; XML tile is 128x64."
"gHoly0Skybox1Tex","__OTR__textures/vr_holy0_static/gHoly0Skybox1Tex","128","64","CI8","UNKNOWN","3D/background","Holy skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_holy0_pal_static TLUT; XML tile is 128x64."
"gHoly0Skybox5Tex","__OTR__textures/vr_holy0_static/gHoly0Skybox5Tex","128","128","CI8","UNKNOWN","3D/background","Holy skybox lower tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_holy0_pal_static TLUT; XML tile is 128x128."
"gHoly1Skybox1Tex","__OTR__textures/vr_holy1_static/gHoly1Skybox1Tex","128","64","CI8","UNKNOWN","3D/background","Holy skybox tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_holy1_pal_static TLUT; XML tile is 128x64."
"gHoly1Skybox6Tex","__OTR__textures/vr_holy1_static/gHoly1Skybox6Tex","128","128","CI8","UNKNOWN","3D/background","Holy skybox lower tile","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/skyboxes.xml; CI8 with vr_holy1_pal_static TLUT; XML tile is 128x128."
"gMarketPotionShopBgTex","__OTR__textures/vr_ALVR_static/gMarketPotionShopBgTex","256","256","CI8","UNKNOWN","3D/background","Market potion shop interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_ALVR_pal_static TLUT."
"gKakPotionShopBgTex","__OTR__textures/vr_DGVR_static/gKakPotionShopBgTex","256","256","CI8","UNKNOWN","3D/background","Kakariko potion shop interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_DGVR_pal_static TLUT."
"gMaskShopBgTex","__OTR__textures/vr_FCVR_static/gMaskShopBgTex","256","256","CI8","UNKNOWN","3D/background","Happy Mask Shop interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_FCVR_pal_static TLUT."
